dttm,th,origin
2021-12-13T00:00:00Z,4.588,H
2021-12-13T01:00:00Z,4.675,H
2021-12-13T02:00:00Z,5.434,R
2021-12-13T03:00:00Z,4.658,H
2021-12-13T04:00:00Z,4.066,H
2021-12-13T05:00:00Z,2.819,H
2021-12-13T06:00:00Z,2.285,H
2021-12-13T07:00:00Z,1.854,H
2021-12-13T08:00:00Z,1.746,H
2021-12-13T09:00:00Z,2.408,H
2021-12-13T10:00:00Z,3.787,H
2021-12-13T11:00:00Z,5.362,H
2021-12-13T12:00:00Z,8.705,R
2021-12-13T13:00:00Z,10.099,R
2021-12-13T14:00:00Z,10.145,R
2021-12-13T15:00:00Z,7.781,H
2021-12-13T16:00:00Z,6.029,H
2021-12-13T17:00:00Z,4.605,H
2021-12-13T18:00:00Z,3.788,H
2021-12-13T19:00:00Z,3.049,H
2021-12-13T20:00:00Z,2.356,H
2021-12-13T21:00:00Z,1.836,H
2021-12-13T22:00:00Z,1.674,H
2021-12-13T23:00:00Z,1.493,H
2021-12-14T00:00:00Z,0.875,H
2021-12-14T01:00:00Z,0.563,H
2021-12-14T02:00:00Z,0.25,H
2021-12-14T03:00:00Z,0.084,H
2021-12-14T04:00:00Z,0.416,H
2021-12-14T05:00:00Z,1.13,H
2021-12-14T06:00:00Z,1.439,H
2021-12-14T07:00:00Z,1.62,H
2021-12-14T08:00:00Z,2.213,H
2021-12-14T09:00:00Z,2.534,H
2021-12-14T10:00:00Z,3.418,H
2021-12-14T11:00:00Z,5.38,H
2021-12-14T12:00:00Z,5.483,H
2021-12-14T13:00:00Z,7.295,H
2021-12-14T14:00:00Z,5.586,H
2021-12-14T15:00:00Z,5.484,H
2021-12-14T16:00:00Z,4.553,H
2021-12-14T17:00:00Z,3.543,H
2021-12-14T18:00:00Z,3.648,H
2021-12-14T19:00:00Z,3.455,H
2021-12-14T20:00:00Z,3.402,H
2021-12-14T21:00:00Z,3.261,H
2021-12-14T22:00:00Z,3.208,H
2021-12-14T23:00:00Z,3.349,H
2021-12-15T00:00:00Z,3.762,R
2021-12-15T01:00:00Z,3.622,R
2021-12-15T02:00:00Z,3.622,R
2021-12-15T03:00:00Z,3.613,H
2021-12-15T04:00:00Z,3.665,H
2021-12-15T05:00:00Z,3.665,H
2021-12-15T06:00:00Z,3.56,H
2021-12-15T07:00:00Z,3.786,R
2021-12-15T08:00:00Z,3.332,H
2021-12-15T09:00:00Z,3.49,H
2021-12-15T10:00:00Z,3.788,H
2021-12-15T11:00:00Z,4.346,H
2021-12-15T12:00:00Z,4.398,H
2021-12-15T13:00:00Z,4.415,H
2021-12-15T14:00:00Z,4.716,R
2021-12-15T15:00:00Z,4.554,H
2021-12-15T16:00:00Z,4.432,H
2021-12-15T17:00:00Z,4.346,H
2021-12-15T18:00:00Z,4.276,H
2021-12-15T19:00:00Z,4.755,R
2021-12-15T20:00:00Z,4.639,R
2021-12-15T21:00:00Z,4.12,H
2021-12-15T22:00:00Z,4.481,R
2021-12-15T23:00:00Z,4.525,R
2021-12-16T00:00:00Z,3.98,H
2021-12-16T01:00:00Z,4.221,R
2021-12-16T02:00:00Z,4.163,R
2021-12-16T03:00:00Z,3.63,H
2021-12-16T04:00:00Z,3.454,H
2021-12-16T05:00:00Z,3.296,H
2021-12-16T06:00:00Z,3.014,H
2021-12-16T07:00:00Z,2.374,H
2021-12-16T08:00:00Z,2.464,H
2021-12-16T09:00:00Z,3.172,H
