date_time,th
2021-12-19T23:00:00Z,NA
2021-12-20T00:00:00Z,-0.12
2021-12-20T01:00:00Z,-0.027
2021-12-20T02:00:00Z,NA
2021-12-20T03:00:00Z,0.047
2021-12-20T04:00:00Z,-0.027
2021-12-20T05:00:00Z,-0.064
2021-12-20T06:00:00Z,-0.306
2021-12-20T07:00:00Z,-0.699
2021-12-20T08:00:00Z,-1.266
2021-12-20T09:00:00Z,-1.02
2021-12-20T10:00:00Z,-0.289
2021-12-20T11:00:00Z,0.544
2021-12-20T12:00:00Z,1.511
2021-12-20T13:00:00Z,2.16
2021-12-20T14:00:00Z,1.836
2021-12-20T15:00:00Z,1.8
2021-12-20T16:00:00Z,1.038
2021-12-20T17:00:00Z,0.471
2021-12-20T18:00:00Z,0.397
2021-12-20T19:00:00Z,-0.643
2021-12-20T20:00:00Z,-1.285
2021-12-20T21:00:00Z,-1.513
2021-12-20T22:00:00Z,-1.837
2021-12-20T23:00:00Z,-2.049
2021-12-21T00:00:00Z,-2.396
2021-12-21T01:00:00Z,-2.61
2021-12-21T02:00:00Z,-2.942
2021-12-21T03:00:00Z,-3.296
2021-12-21T04:00:00Z,-3.792
2021-12-21T05:00:00Z,-4.112
2021-12-21T06:00:00Z,-4.071
2021-12-21T07:00:00Z,-4.232
2021-12-21T08:00:00Z,-4.596
2021-12-21T09:00:00Z,-4.982
2021-12-21T10:00:00Z,-4.213
2021-12-21T11:00:00Z,-3.593
2021-12-21T12:00:00Z,-2.942
2021-12-21T13:00:00Z,-2.669
2021-12-21T14:00:00Z,-2.571
2021-12-21T15:00:00Z,-2.785
2021-12-21T16:00:00Z,-2.864
2021-12-21T17:00:00Z,-2.942
2021-12-21T18:00:00Z,-3.001
2021-12-21T19:00:00Z,-3.355
2021-12-21T20:00:00Z,-3.633
2021-12-21T21:00:00Z,-3.712
2021-12-21T22:00:00Z,-4.112
2021-12-21T23:00:00Z,-4.616
2021-12-22T00:00:00Z,-5.208
2021-12-22T01:00:00Z,-5.808
2021-12-22T02:00:00Z,-6.12
2021-12-22T03:00:00Z,-6.162
2021-12-22T04:00:00Z,-6.183
2021-12-22T05:00:00Z,-6.627
2021-12-22T06:00:00Z,-6.52
2021-12-22T07:00:00Z,NA
2021-12-22T08:00:00Z,-6.542
2021-12-22T09:00:00Z,-6.33
2021-12-22T10:00:00Z,-5.19
2021-12-22T11:00:00Z,-3.575
2021-12-22T12:00:00Z,-2.397
2021-12-22T13:00:00Z,-1.418
2021-12-22T14:00:00Z,-1.02
2021-12-22T15:00:00Z,-1.19
2021-12-22T16:00:00Z,-2.127
2021-12-22T17:00:00Z,-3.099
2021-12-22T18:00:00Z,-3.633
2021-12-22T19:00:00Z,-3.772
2021-12-22T20:00:00Z,-4.132
2021-12-22T21:00:00Z,-4.474
2021-12-22T22:00:00Z,-4.86
2021-12-22T23:00:00Z,-5.187
2021-12-23T00:00:00Z,-5.27
2021-12-23T01:00:00Z,-5.146
2021-12-23T02:00:00Z,-4.901
2021-12-23T03:00:00Z,-4.555
2021-12-23T04:00:00Z,-4.252
2021-12-23T05:00:00Z,-4.232
2021-12-23T06:00:00Z,-4.212
2021-12-23T07:00:00Z,-3.851
2021-12-23T08:00:00Z,-3.415
2021-12-23T09:00:00Z,-2.282
2021-12-23T10:00:00Z,-0.759
2021-12-23T11:00:00Z,2.172
2021-12-23T12:00:00Z,3.804
2021-12-23T13:00:00Z,5.654
2021-12-23T14:00:00Z,4.675
2021-12-23T15:00:00Z,4.536
2021-12-23T16:00:00Z,4.502
2021-12-23T17:00:00Z,NA
2021-12-23T18:00:00Z,7.414
2021-12-23T19:00:00Z,6.369
2021-12-23T20:00:00Z,6.062
2021-12-23T21:00:00Z,7.093
2021-12-23T22:00:00Z,5.398
2021-12-23T23:00:00Z,4.831
2021-12-24T00:00:00Z,4.71
2021-12-24T01:00:00Z,6.078
2021-12-24T02:00:00Z,8.064
2021-12-24T03:00:00Z,9.192
2021-12-24T04:00:00Z,9.324
2021-12-24T05:00:00Z,9.192
2021-12-24T06:00:00Z,9.011
2021-12-24T07:00:00Z,8.912
2021-12-24T08:00:00Z,8.248
2021-12-24T09:00:00Z,7.548
2021-12-24T10:00:00Z,7.849
2021-12-24T11:00:00Z,8.215
2021-12-24T12:00:00Z,8.498
2021-12-24T13:00:00Z,8.796
2021-12-24T14:00:00Z,8.862
2021-12-24T15:00:00Z,8.763
2021-12-24T16:00:00Z,8.878
2021-12-24T17:00:00Z,9.077
2021-12-24T18:00:00Z,8.994
2021-12-24T19:00:00Z,8.465
2021-12-24T20:00:00Z,7.965
2021-12-24T21:00:00Z,7.632
2021-12-24T22:00:00Z,7.548
2021-12-24T23:00:00Z,7.599
2021-12-25T00:00:00Z,7.615
2021-12-25T01:00:00Z,7.531
2021-12-25T02:00:00Z,7.397
2021-12-25T03:00:00Z,7.112
