date_time,th
2021-12-13T00:00:00Z,4.588
2021-12-13T01:00:00Z,4.675
2021-12-13T02:00:00Z,NA
2021-12-13T03:00:00Z,4.658
2021-12-13T04:00:00Z,4.066
2021-12-13T05:00:00Z,2.819
2021-12-13T06:00:00Z,2.285
2021-12-13T07:00:00Z,1.854
2021-12-13T08:00:00Z,1.746
2021-12-13T09:00:00Z,2.408
2021-12-13T10:00:00Z,3.787
2021-12-13T11:00:00Z,5.362
2021-12-13T12:00:00Z,NA
2021-12-13T13:00:00Z,NA
2021-12-13T14:00:00Z,NA
2021-12-13T15:00:00Z,7.781
2021-12-13T16:00:00Z,6.029
2021-12-13T17:00:00Z,4.605
2021-12-13T18:00:00Z,3.788
2021-12-13T19:00:00Z,3.049
2021-12-13T20:00:00Z,2.356
2021-12-13T21:00:00Z,1.836
2021-12-13T22:00:00Z,1.674
2021-12-13T23:00:00Z,1.493
2021-12-14T00:00:00Z,0.875
2021-12-14T01:00:00Z,0.563
2021-12-14T02:00:00Z,0.25
2021-12-14T03:00:00Z,0.084
2021-12-14T04:00:00Z,0.416
2021-12-14T05:00:00Z,1.13
2021-12-14T06:00:00Z,1.439
2021-12-14T07:00:00Z,1.62
2021-12-14T08:00:00Z,2.213
2021-12-14T09:00:00Z,2.534
2021-12-14T10:00:00Z,3.418
2021-12-14T11:00:00Z,5.38
2021-12-14T12:00:00Z,5.483
2021-12-14T13:00:00Z,7.295
2021-12-14T14:00:00Z,5.586
2021-12-14T15:00:00Z,5.484
2021-12-14T16:00:00Z,4.553
2021-12-14T17:00:00Z,3.543
2021-12-14T18:00:00Z,3.648
2021-12-14T19:00:00Z,3.455
2021-12-14T20:00:00Z,3.402
2021-12-14T21:00:00Z,3.261
2021-12-14T22:00:00Z,3.208
2021-12-14T23:00:00Z,3.349
2021-12-15T00:00:00Z,NA
2021-12-15T01:00:00Z,NA
2021-12-15T02:00:00Z,NA
2021-12-15T03:00:00Z,3.613
2021-12-15T04:00:00Z,3.665
2021-12-15T05:00:00Z,3.665
2021-12-15T06:00:00Z,3.56
2021-12-15T07:00:00Z,NA
2021-12-15T08:00:00Z,3.332
2021-12-15T09:00:00Z,3.49
2021-12-15T10:00:00Z,3.788
2021-12-15T11:00:00Z,4.346
2021-12-15T12:00:00Z,4.398
2021-12-15T13:00:00Z,4.415
2021-12-15T14:00:00Z,NA
2021-12-15T15:00:00Z,4.554
2021-12-15T16:00:00Z,4.432
2021-12-15T17:00:00Z,4.346
2021-12-15T18:00:00Z,4.276
2021-12-15T19:00:00Z,NA
2021-12-15T20:00:00Z,NA
2021-12-15T21:00:00Z,4.12
2021-12-15T22:00:00Z,NA
2021-12-15T23:00:00Z,NA
2021-12-16T00:00:00Z,3.98
2021-12-16T01:00:00Z,NA
2021-12-16T02:00:00Z,NA
2021-12-16T03:00:00Z,3.63
2021-12-16T04:00:00Z,3.454
2021-12-16T05:00:00Z,3.296
2021-12-16T06:00:00Z,3.014
2021-12-16T07:00:00Z,2.374
2021-12-16T08:00:00Z,2.464
2021-12-16T09:00:00Z,3.172
2021-12-16T10:00:00Z,4.171
2021-12-16T11:00:00Z,5.449
2021-12-16T12:00:00Z,5.757
2021-12-16T13:00:00Z,5.791
2021-12-16T14:00:00Z,5.911
2021-12-16T15:00:00Z,5.774
2021-12-16T16:00:00Z,5.484
2021-12-16T17:00:00Z,5.227
2021-12-16T18:00:00Z,4.917
2021-12-16T19:00:00Z,4.258
2021-12-16T20:00:00Z,3.119
2021-12-16T21:00:00Z,2.303
2021-12-16T22:00:00Z,1.8
2021-12-16T23:00:00Z,1.039
2021-12-17T00:00:00Z,0.711
2021-12-17T01:00:00Z,0.471
